,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
906,Mr. Smith has a nasty infection. The doctor prescribes some antibiotics and some cream. Mr. Smith can buy them from the pharmacy with discounts.,The doctor will prescribe antibiotics and cream to ease the itching and burning.,Mr. Smith has a nasty infection and asks the doctor to prescribe some antibiotics and some cream to get rid of it. The doctor will send the prescription down to the pharmacy on the fourth floor.,Mr. Smith has a nasty infection and the doctor prescribes antibiotics and cream to ease itching and burning. Mr. Smith will buy them at the pharmacy and pick it up on his way out.
907,The doctor prescribes some medicine for Mr. Smith and tells him where to get it.,The doctor will prescribe antibiotics and cream to ease the itching and burning.,Mr. Smith has a nasty infection and asks the doctor to prescribe some antibiotics and some cream to get rid of it. The doctor will send the prescription down to the pharmacy on the fourth floor.,Mr. Smith has a nasty infection and the doctor prescribes antibiotics and cream to ease itching and burning. Mr. Smith will buy them at the pharmacy and pick it up on his way out.
908,The doctor prescribes some medicine and asks Mr. Smith to buy them to treat his infection.,The doctor will prescribe antibiotics and cream to ease the itching and burning.,Mr. Smith has a nasty infection and asks the doctor to prescribe some antibiotics and some cream to get rid of it. The doctor will send the prescription down to the pharmacy on the fourth floor.,Mr. Smith has a nasty infection and the doctor prescribes antibiotics and cream to ease itching and burning. Mr. Smith will buy them at the pharmacy and pick it up on his way out.
909,"#Person2# wants to buy Chinese arts and crafts, something distinctively Chinese. #Person1# suggests #Person2# buy paper-cuts, embroidery and batik.",#Person1#: I'd like to take some Chinese arts and crafts home.,"#Person2# wants to take some Chinese arts and crafts home. #Person1# recommends some articles and #Person2# buys paper-cuts, embroidery, and batik.","#Person1# recommends Chinese arts and crafts to #Person2#. #Person2# wants to take some home and asks #Person1# to recommend some articles. #Person2# suggests #Person1# buy paper-cuts, embroidery and batik."
910,"#Person2# wants to buy Chinese arts and crafts, so #Person1# offers some suggestions.",#Person1#: I'd like to take some Chinese arts and crafts home.,"#Person2# wants to take some Chinese arts and crafts home. #Person1# recommends some articles and #Person2# buys paper-cuts, embroidery, and batik.","#Person1# recommends Chinese arts and crafts to #Person2#. #Person2# wants to take some home and asks #Person1# to recommend some articles. #Person2# suggests #Person1# buy paper-cuts, embroidery and batik."
911,#Person1# is suggesting some Chinese arts and crafts to #Person2#. #Person2# is interested in embroidery.,#Person1#: I'd like to take some Chinese arts and crafts home.,"#Person2# wants to take some Chinese arts and crafts home. #Person1# recommends some articles and #Person2# buys paper-cuts, embroidery, and batik.","#Person1# recommends Chinese arts and crafts to #Person2#. #Person2# wants to take some home and asks #Person1# to recommend some articles. #Person2# suggests #Person1# buy paper-cuts, embroidery and batik."
912,"#Person1# and #Person2# are visiting the Eiffel Tower, which was named after its designer Gustave Eiffel.",The Eiffel Tower is a famous building in Paris.,#Person1# tells #Person2# the Eiffel Tower is 320m high and was built in 1889 for the World's Fair. #Person2# thinks the Eiffel Tower is connected to Gustave Eiffel.,#Person1# tells #Person2# the tallest building in front of #Person2# is the Eiffel Tower. #Person2# thinks the Eiffel Tower is connected to Gustave Eiffel.
913,#Person1# introduces the Eiffel Tower's history and height to #Person2#.,The Eiffel Tower is a famous building in Paris.,#Person1# tells #Person2# the Eiffel Tower is 320m high and was built in 1889 for the World's Fair. #Person2# thinks the Eiffel Tower is connected to Gustave Eiffel.,#Person1# tells #Person2# the tallest building in front of #Person2# is the Eiffel Tower. #Person2# thinks the Eiffel Tower is connected to Gustave Eiffel.
914,#Person1# is introducing the Eiffel Tower to #Person2#.,The Eiffel Tower is a famous building in Paris.,#Person1# tells #Person2# the Eiffel Tower is 320m high and was built in 1889 for the World's Fair. #Person2# thinks the Eiffel Tower is connected to Gustave Eiffel.,#Person1# tells #Person2# the tallest building in front of #Person2# is the Eiffel Tower. #Person2# thinks the Eiffel Tower is connected to Gustave Eiffel.
915,Brian tells #Person1# that he learned English in college and he went to Las Vegas on a business trip.,"Brian, you speak really well.",Brian tells #Person1# he has been to the U.S. for 3 weeks and has never been to California before.,Brian speaks English very well. Brian has been in the U.S. for 3 weeks and his wife just arrived yesterday. Brian has never been to California before.
916,#Person1# asks Brian about his English and his life in the U.S.,"Brian, you speak really well.",Brian tells #Person1# he has been to the U.S. for 3 weeks and has never been to California before.,Brian speaks English very well. Brian has been in the U.S. for 3 weeks and his wife just arrived yesterday. Brian has never been to California before.
917,#Person1# compliments Brian on his English and asks Brian about his life in the U.S.,"Brian, you speak really well.",Brian tells #Person1# he has been to the U.S. for 3 weeks and has never been to California before.,Brian speaks English very well. Brian has been in the U.S. for 3 weeks and his wife just arrived yesterday. Brian has never been to California before.
918,"#Person2# is worried about one man, and #Person1# thinks that that man might be on the way home now.",Person1 is worried about his son.,#Person2# is worried about #Person2#'s cat. #Person1# comforts #Person2# and says #Person2#'s cat is on the way home now.,#Person1# is worried about #Person2#'s son. #Person1# tells #Person2# he should be here an hour ago but he still doesn't come back.
919,"#Person2# is worried about a man, but #Person1# thinks it would be fine.",Person1 is worried about his son.,#Person2# is worried about #Person2#'s cat. #Person1# comforts #Person2# and says #Person2#'s cat is on the way home now.,#Person1# is worried about #Person2#'s son. #Person1# tells #Person2# he should be here an hour ago but he still doesn't come back.
920,#Person2# is worried about a man but #Person1# is not.,Person1 is worried about his son.,#Person2# is worried about #Person2#'s cat. #Person1# comforts #Person2# and says #Person2#'s cat is on the way home now.,#Person1# is worried about #Person2#'s son. #Person1# tells #Person2# he should be here an hour ago but he still doesn't come back.
921,"#Person1# warns #Person2# that they might get into trouble, but #Person2# doesn't agree with #Person1#'s warning.",#Person1: I don't see anything wrong with what we're doing. #Person2: I don't see anything wrong with what we're doing. #Person1: I don't see anything wrong with what we're doing.,#Person1# tells #Person2# that #Person1# will get into a lot of trouble if #Person1# does that. #Person2# thinks #Person1# always says that. #Person1# will have trouble on the horizon if #Person1# does it.,"#Person1# tells #Person2# #Person1#'s going to get into a lot of trouble if #Person1# does that. #Person2# says everything has been so easy, but #Person1# always says that. #Person1# doesn't think #Person1# didn't warn #Person1#."
922,"#Person1# warns #Person2# of the possible trouble in the future, but #Person2# doesn't mind.",#Person1: I don't see anything wrong with what we're doing. #Person2: I don't see anything wrong with what we're doing. #Person1: I don't see anything wrong with what we're doing.,#Person1# tells #Person2# that #Person1# will get into a lot of trouble if #Person1# does that. #Person2# thinks #Person1# always says that. #Person1# will have trouble on the horizon if #Person1# does it.,"#Person1# tells #Person2# #Person1#'s going to get into a lot of trouble if #Person1# does that. #Person2# says everything has been so easy, but #Person1# always says that. #Person1# doesn't think #Person1# didn't warn #Person1#."
923,"#Person1# is warning #Person2# not to do that or #Person2# will get into trouble, but #Person2# doesn't care.",#Person1: I don't see anything wrong with what we're doing. #Person2: I don't see anything wrong with what we're doing. #Person1: I don't see anything wrong with what we're doing.,#Person1# tells #Person2# that #Person1# will get into a lot of trouble if #Person1# does that. #Person2# thinks #Person1# always says that. #Person1# will have trouble on the horizon if #Person1# does it.,"#Person1# tells #Person2# #Person1#'s going to get into a lot of trouble if #Person1# does that. #Person2# says everything has been so easy, but #Person1# always says that. #Person1# doesn't think #Person1# didn't warn #Person1#."
924,#Person1# and #Person2# are talking about a perfect match between John and a girl.,John dates her seven times a week.,#Person1# tells #Person2# John dates her seven times a week. #Person2# thinks it's a perfect match between a man and a girl.,#Person1# tells #Person2# John dates her seven times a week. #Person2# thinks it's a perfect match between a man and a girl.
925,#Person1# and #Person2# talk about John's love life.,John dates her seven times a week.,#Person1# tells #Person2# John dates her seven times a week. #Person2# thinks it's a perfect match between a man and a girl.,#Person1# tells #Person2# John dates her seven times a week. #Person2# thinks it's a perfect match between a man and a girl.
926,#Person1# and #Person2# think that John and the girl are a perfect match.,John dates her seven times a week.,#Person1# tells #Person2# John dates her seven times a week. #Person2# thinks it's a perfect match between a man and a girl.,#Person1# tells #Person2# John dates her seven times a week. #Person2# thinks it's a perfect match between a man and a girl.
927,"#Person1# and #Person2# are planning the places of interest they are going to visit in London, such as Nelson's Column, Westminster Abbey, Tower of London, Madame Tussaud's Waxworks Museum, and so on. They are both looking forward to it.",I'm going to visit London.,"#Person1# and #Person2# are talking about London's history. They are looking forward to seeing Westminster abbey, the statue of Boadicea, the famous tower of London, the famous castle and prison, and the crown jewels. They also want to see historical figures in Madame Tussaud's waxworks museum.","#Person1# and #Person2# are visiting London. They are looking forward to seeing Westminster abbey, the statue of Boadicea, the famous tower of London, the famous castle and prison, and the crown jewels. They also want to see the waxworks museum."
928,"#Person1# and #Person2# talk about historic figures and buildings in London, including Nelson's Column, Westminster Abbey, famous female figures, Madame Tussaud's the waxworks museum and so on.",I'm going to visit London.,"#Person1# and #Person2# are talking about London's history. They are looking forward to seeing Westminster abbey, the statue of Boadicea, the famous tower of London, the famous castle and prison, and the crown jewels. They also want to see historical figures in Madame Tussaud's waxworks museum.","#Person1# and #Person2# are visiting London. They are looking forward to seeing Westminster abbey, the statue of Boadicea, the famous tower of London, the famous castle and prison, and the crown jewels. They also want to see the waxworks museum."
929,"#Person1# and #Person2# are talking about London's places of interest, including a monument, Westminster Abbey, the statue of Boadicea, the famous Tower of London, the famous castle and prison, and Madame Tussaud's the waxworks museum.",I'm going to visit London.,"#Person1# and #Person2# are talking about London's history. They are looking forward to seeing Westminster abbey, the statue of Boadicea, the famous tower of London, the famous castle and prison, and the crown jewels. They also want to see historical figures in Madame Tussaud's waxworks museum.","#Person1# and #Person2# are visiting London. They are looking forward to seeing Westminster abbey, the statue of Boadicea, the famous tower of London, the famous castle and prison, and the crown jewels. They also want to see the waxworks museum."
930,"#Person2# thought Daniel's favorite course would be PE, but actually he likes science most.",Daniel is a naughty boy.,Daniel likes science most and he likes science best. #Person2# thinks Daniel is naughty because he only does the things he is interested in.,Daniel likes science and science. #Person2# thinks Daniel is naughty because he is always a naughty boy. Daniel's parents would be happy if they knew that.
931,Daniel is interested in science because he can learn more about the world through it.,Daniel is a naughty boy.,Daniel likes science most and he likes science best. #Person2# thinks Daniel is naughty because he only does the things he is interested in.,Daniel likes science and science. #Person2# thinks Daniel is naughty because he is always a naughty boy. Daniel's parents would be happy if they knew that.
932,#Person2# is surprised that Daniel's favorite course is science and he is interested in it.,Daniel is a naughty boy.,Daniel likes science most and he likes science best. #Person2# thinks Daniel is naughty because he only does the things he is interested in.,Daniel likes science and science. #Person2# thinks Daniel is naughty because he is always a naughty boy. Daniel's parents would be happy if they knew that.
933,#Person2# is holding a baby shower for #Person1# and there are many presents for #Person1#. #Person1#'s water broke.,The baby shower was held at the Carla's home.,#Person1# thanks Carla for organizing the baby shower and opening some presents. #Person1# thinks #Person1#'s water broke and Carla will get #Person1# to a hospital.,#Person1# thanks Carla for organizing a baby shower for #Person1#. #Person1# is grateful for the gifts and asks Carla to get her to a hospital.
934,#Person2# helps #Person1# to open the presents for #Person1#'s baby at the baby shower. #Person1#'s water broke.,The baby shower was held at the Carla's home.,#Person1# thanks Carla for organizing the baby shower and opening some presents. #Person1# thinks #Person1#'s water broke and Carla will get #Person1# to a hospital.,#Person1# thanks Carla for organizing a baby shower for #Person1#. #Person1# is grateful for the gifts and asks Carla to get her to a hospital.
935,#Person2# organized a great baby shower for #Person1#. #Person1# receives many gifts. #Person1#'s water broke.,The baby shower was held at the Carla's home.,#Person1# thanks Carla for organizing the baby shower and opening some presents. #Person1# thinks #Person1#'s water broke and Carla will get #Person1# to a hospital.,#Person1# thanks Carla for organizing a baby shower for #Person1#. #Person1# is grateful for the gifts and asks Carla to get her to a hospital.
936,"#Person1# wants to travel to China, but #Person1#'s mother is not available.","Then, you can go to China for sightseeing.",#Person1# wants to go to China for sight-seeing but #Person2# is too busy.,#Person1# wants to go to China for sight-seeing but #Person2# is too busy.
937,"#Person1# invites #Person2# to China, but she is too busy.","Then, you can go to China for sightseeing.",#Person1# wants to go to China for sight-seeing but #Person2# is too busy.,#Person1# wants to go to China for sight-seeing but #Person2# is too busy.
938,#Person1# will go to China while #Person2# won't.,"Then, you can go to China for sightseeing.",#Person1# wants to go to China for sight-seeing but #Person2# is too busy.,#Person1# wants to go to China for sight-seeing but #Person2# is too busy.
939,"Tim was chatting with Karren, but now he has to go because it's getting late.",Person1 is running late.,Tim and Karen are going to meet around. They will see each other around.,#Person1# and Tim are going to meet around.
940,Karren and Tim say goodbye.,Person1 is running late.,Tim and Karen are going to meet around. They will see each other around.,#Person1# and Tim are going to meet around.
941,Tim is saying goodbye to Karren.,Person1 is running late.,Tim and Karen are going to meet around. They will see each other around.,#Person1# and Tim are going to meet around.
942,"#Person1# asks whether #Person2# tried Michael's new motorcycle. #Person2# says #Person2# likes it, but still #Person2# will buy a bicycle for safety.",Michael bought a new motorcycle.,#Person2# tells #Person1# that Michael bought a new motorcycle and he liked it. #Person2# wants to buy a bicycle because #Person2# likes bicycles so much.,#Person1# asks #Person2# about Michael's new motorcycle and #Person2#'s interest in buying a bicycle. #Person2# likes it so much and wants to buy a bicycle.
943,#Person2# shares #Person2#'s experience of riding Michael's motorcycle with #Person1#.,Michael bought a new motorcycle.,#Person2# tells #Person1# that Michael bought a new motorcycle and he liked it. #Person2# wants to buy a bicycle because #Person2# likes bicycles so much.,#Person1# asks #Person2# about Michael's new motorcycle and #Person2#'s interest in buying a bicycle. #Person2# likes it so much and wants to buy a bicycle.
944,#Person2# liked Michael's motorcycle but won't buy one.,Michael bought a new motorcycle.,#Person2# tells #Person1# that Michael bought a new motorcycle and he liked it. #Person2# wants to buy a bicycle because #Person2# likes bicycles so much.,#Person1# asks #Person2# about Michael's new motorcycle and #Person2#'s interest in buying a bicycle. #Person2# likes it so much and wants to buy a bicycle.
945,"#Person2# can speak Chinese, English and French. #Person2#'s English skill is enough to do general desk work and sufficient to work in an American firm.","Besides Chinese, you can speak English and French.",#Person2# tells #Person1# #Person2# can speak English and French well. #Person2# can read and write English well and can communicate with people of English-speaking countries. #Person2# thinks #Person2#'s English is sufficient to work in an American firm.,"#Person1# asks #Person2# how many languages #Person2# can speak. #Person2# can speak English and French, but #Person2# can only carry on a simple conversation in French. #Person2# thinks English is good enough to do desk work."
946,#Person1# asks #Person2# about #Person2#'s mastery of English and French. #Person2# says #Person2#'s English competence is sufficient to work in an American firm.,"Besides Chinese, you can speak English and French.",#Person2# tells #Person1# #Person2# can speak English and French well. #Person2# can read and write English well and can communicate with people of English-speaking countries. #Person2# thinks #Person2#'s English is sufficient to work in an American firm.,"#Person1# asks #Person2# how many languages #Person2# can speak. #Person2# can speak English and French, but #Person2# can only carry on a simple conversation in French. #Person2# thinks English is good enough to do desk work."
947,#Person2# can speak three languages and do general desk work in English.,"Besides Chinese, you can speak English and French.",#Person2# tells #Person1# #Person2# can speak English and French well. #Person2# can read and write English well and can communicate with people of English-speaking countries. #Person2# thinks #Person2#'s English is sufficient to work in an American firm.,"#Person1# asks #Person2# how many languages #Person2# can speak. #Person2# can speak English and French, but #Person2# can only carry on a simple conversation in French. #Person2# thinks English is good enough to do desk work."
948,Andy calls to find Naomi. Nancy will deliver the message that he has called.,Person1 is at the Tyler residence.,Andy calls Naomi to tell her that Andy called. Naomi tells Andy that Andy called.,Naomi is the sister of Andy and Tyler's neighbor Naomi. Andy calls Naomi and tells her that Andy called.
949,Andy calls but Naomi isn't there.,Person1 is at the Tyler residence.,Andy calls Naomi to tell her that Andy called. Naomi tells Andy that Andy called.,Naomi is the sister of Andy and Tyler's neighbor Naomi. Andy calls Naomi and tells her that Andy called.
950,Andy leaves a message to Naomi by phone.,Person1 is at the Tyler residence.,Andy calls Naomi to tell her that Andy called. Naomi tells Andy that Andy called.,Naomi is the sister of Andy and Tyler's neighbor Naomi. Andy calls Naomi and tells her that Andy called.
951,#Person1#'s flight to New York has been cancelled and he is anxious. #Person2# will help #Person1# to book a tomorrow's flight with 50 % discount.,#Person1#: I'm sorry to hear that flight 513 to New York has been canceled.,#Person1# is here for flight 513 to New York but the paging system announces that it is canceled. #Person2# tells #Person1# that the flight has been canceled and will book #Person1# on tomorrow's flight. #Person1# is angry and wants to book another flight. #Person2# agrees and will give him a 50% discount.,#Person1# is here for flight 513 to New York but #Person2# tells #Person1# that the flight has been canceled. #Person1# is angry because #Person1# hates lines. #Person2# will book #Person1# on tomorrow's flight and will give #Person1# a 50% discount.
952,"#Person1#'s flight is cancelled and he is annoyed, so #Person2# helps him book another flight and gives him a discount.",#Person1#: I'm sorry to hear that flight 513 to New York has been canceled.,#Person1# is here for flight 513 to New York but the paging system announces that it is canceled. #Person2# tells #Person1# that the flight has been canceled and will book #Person1# on tomorrow's flight. #Person1# is angry and wants to book another flight. #Person2# agrees and will give him a 50% discount.,#Person1# is here for flight 513 to New York but #Person2# tells #Person1# that the flight has been canceled. #Person1# is angry because #Person1# hates lines. #Person2# will book #Person1# on tomorrow's flight and will give #Person1# a 50% discount.
953,#Person1# is very angry about the cancelled flight and he cannot get to New York today. #Person2# helps him book tomorrow's airline.,#Person1#: I'm sorry to hear that flight 513 to New York has been canceled.,#Person1# is here for flight 513 to New York but the paging system announces that it is canceled. #Person2# tells #Person1# that the flight has been canceled and will book #Person1# on tomorrow's flight. #Person1# is angry and wants to book another flight. #Person2# agrees and will give him a 50% discount.,#Person1# is here for flight 513 to New York but #Person2# tells #Person1# that the flight has been canceled. #Person1# is angry because #Person1# hates lines. #Person2# will book #Person1# on tomorrow's flight and will give #Person1# a 50% discount.
954,"#Person1# and #Person2# go to Burger Queen for lunch, but there's a long line and they have to wait. #Person2# is going to order French fries that #Person1# recommends.",The first person will order a cheese burger and the second person will order a milkshake.,#Person1# and #Person2# are going to Burger Queen for lunch. They are waiting in line for the cheese burger and the milkshake. They also try the French fries and #Person2# thinks eating too much fried food makes #Person2# fat. #Person1# encourages #Person2# to be patient.,#Person1# and #Person2# are going to Burger Queen for lunch. They are waiting for the cheese burger and the milkshake. They also try the vanilla milkshake and the French fries. They are satisfied with the food and they will try it once in a while.
955,"#Person1# invites #Person2# to have lunch at Burger Queen. They wait in line to order food, and #Person1# recommends some food to #Person2#.",The first person will order a cheese burger and the second person will order a milkshake.,#Person1# and #Person2# are going to Burger Queen for lunch. They are waiting in line for the cheese burger and the milkshake. They also try the French fries and #Person2# thinks eating too much fried food makes #Person2# fat. #Person1# encourages #Person2# to be patient.,#Person1# and #Person2# are going to Burger Queen for lunch. They are waiting for the cheese burger and the milkshake. They also try the vanilla milkshake and the French fries. They are satisfied with the food and they will try it once in a while.
956,#Person1# and #Person2# will go to Burger Queen for lunch and eat cheese burgers and French fries. They will have to wait for good food.,The first person will order a cheese burger and the second person will order a milkshake.,#Person1# and #Person2# are going to Burger Queen for lunch. They are waiting in line for the cheese burger and the milkshake. They also try the French fries and #Person2# thinks eating too much fried food makes #Person2# fat. #Person1# encourages #Person2# to be patient.,#Person1# and #Person2# are going to Burger Queen for lunch. They are waiting for the cheese burger and the milkshake. They also try the vanilla milkshake and the French fries. They are satisfied with the food and they will try it once in a while.
957,#Person1# asks #Person2# to pay excess luggage charge.,The excess luggage charge is over 8 kilograms.,#Person1# tells #Person2# the excess luggage charge and gives #Person2# a fragile label.,#Person1# tells #Person2# the excess luggage charge and gives #Person2# a fragile label.
958,#Person1# will pays for the overweight luggage.,The excess luggage charge is over 8 kilograms.,#Person1# tells #Person2# the excess luggage charge and gives #Person2# a fragile label.,#Person1# tells #Person2# the excess luggage charge and gives #Person2# a fragile label.
959,#Person2# pays for #Person2#'s fragile luggage.,The excess luggage charge is over 8 kilograms.,#Person1# tells #Person2# the excess luggage charge and gives #Person2# a fragile label.,#Person1# tells #Person2# the excess luggage charge and gives #Person2# a fragile label.
960,#Person1# wants to drink a soda because of thirst. #Person2# suggests #Person1# drink water instead of soda when dehydrated.,Person1: I'm thirsty.,#Person1# is parched and wants to get some water. #Person2# tells #Person1# that soda is bad for #Person1# and #Person1# should drink water when dehydrated.,#Person1# is thirsty and wants to get some water. #Person2# advises #Person1# to drink water when dehydrated.
961,#Person1# is thirsty and #Person2# suggests #Person1# drink water instead of soda.,Person1: I'm thirsty.,#Person1# is parched and wants to get some water. #Person2# tells #Person1# that soda is bad for #Person1# and #Person1# should drink water when dehydrated.,#Person1# is thirsty and wants to get some water. #Person2# advises #Person1# to drink water when dehydrated.
962,#Person2# tells #Person1# soda doesn't quench the thirst. #Person1# will drink water as #Person2# suggests.,Person1: I'm thirsty.,#Person1# is parched and wants to get some water. #Person2# tells #Person1# that soda is bad for #Person1# and #Person1# should drink water when dehydrated.,#Person1# is thirsty and wants to get some water. #Person2# advises #Person1# to drink water when dehydrated.
963,"Mr. Green has a meeting with Manager Liang tomorrow morning, but Mr. Green has to go abroad today. Wang Miao says Mr. Green will make another appointment.",Mr. Green has an urgent case and he wants to apologize to Mr. Liang.,Wang Miao calls Manager Liang to convey Mr. Green's apology to Mr. Liang because Mr. Green has an urgent case tomorrow. Wang Miao will tell Mr. Green and Mr. Green will make another appointment when Mr. Liang comes back.,Wang Miao from AB company calls Manager Liang's office to convey Mr. Green's apology to Mr. Liang. Wang Miao will tell Mr. Liang about the appointment.
964,Wang Miao informs #Person1# of the change of Manager Liang and Mr. Green's appointment.,Mr. Green has an urgent case and he wants to apologize to Mr. Liang.,Wang Miao calls Manager Liang to convey Mr. Green's apology to Mr. Liang because Mr. Green has an urgent case tomorrow. Wang Miao will tell Mr. Green and Mr. Green will make another appointment when Mr. Liang comes back.,Wang Miao from AB company calls Manager Liang's office to convey Mr. Green's apology to Mr. Liang. Wang Miao will tell Mr. Liang about the appointment.
965,Mr. Green has to cancel the appointment with Mr. Liang and will make another one later.,Mr. Green has an urgent case and he wants to apologize to Mr. Liang.,Wang Miao calls Manager Liang to convey Mr. Green's apology to Mr. Liang because Mr. Green has an urgent case tomorrow. Wang Miao will tell Mr. Green and Mr. Green will make another appointment when Mr. Liang comes back.,Wang Miao from AB company calls Manager Liang's office to convey Mr. Green's apology to Mr. Liang. Wang Miao will tell Mr. Liang about the appointment.
966,#Person1# buys a pair of enameled leather shoes from #Person2#.,The shoes are in size 30.,#Person1# buys a pair of enameled leather shoes in size 30 with a little tight heel from #Person2#.,#Person1# wants a pair of enameled leather shoes in size 30. #Person2# says it doesn't matter because the shoes will stretch a bit with use.
967,#Person1# buys shoes from #Person2#.,The shoes are in size 30.,#Person1# buys a pair of enameled leather shoes in size 30 with a little tight heel from #Person2#.,#Person1# wants a pair of enameled leather shoes in size 30. #Person2# says it doesn't matter because the shoes will stretch a bit with use.
968,#Person1# will take the leather shoes.,The shoes are in size 30.,#Person1# buys a pair of enameled leather shoes in size 30 with a little tight heel from #Person2#.,#Person1# wants a pair of enameled leather shoes in size 30. #Person2# says it doesn't matter because the shoes will stretch a bit with use.
969,"Benjamin has trouble writing a project report. #Person1# teaches him that a good report involves a final conclusion on his work of this year, experiences in dealing with some emergent events, plan for the next year, and the format.",The project report is due in a few days.,Benjamin doesn't know how to write a project report. #Person1# asks him to learn the basic information about the report and give him a hand to fix the information in Microsoft Words.,Benjamin doesn't know how to write a project report. #Person1# tells him that he's a workaholic and he needs to include more details about his final conclusion and his plan for the next year. Benjamin doesn't know how to work Microsoft Words.
970,"Benjamin hasn't finished his project report so #Person1# helps him. #Person1# tells him about the content and format of a report, and agrees to teach him how to work Microsoft Words.",The project report is due in a few days.,Benjamin doesn't know how to write a project report. #Person1# asks him to learn the basic information about the report and give him a hand to fix the information in Microsoft Words.,Benjamin doesn't know how to write a project report. #Person1# tells him that he's a workaholic and he needs to include more details about his final conclusion and his plan for the next year. Benjamin doesn't know how to work Microsoft Words.
971,"Benjamin hasn't finished a report involving a final conclusion of this year, future plans and more details. #Person1# will help him learn how to work Microsoft Words.",The project report is due in a few days.,Benjamin doesn't know how to write a project report. #Person1# asks him to learn the basic information about the report and give him a hand to fix the information in Microsoft Words.,Benjamin doesn't know how to write a project report. #Person1# tells him that he's a workaholic and he needs to include more details about his final conclusion and his plan for the next year. Benjamin doesn't know how to work Microsoft Words.
972,#Person2# calls Pizza House to deliver a thin crust seafood pizza to holyrood 9A.,Pizza House is located at Holyrood 9A.,"#Person2# orders a medium pizza with pepperoni, olives, and extra cheese with today's special. #Person2# orders the seafood pizza with thin crust and #Person2#'s address is holyrood 9A.","#Person1# takes Marty's order for a medium pizza with pepperoni, olives, and extra cheese. #Person1# offers a two-for-one special on large pizzas and offers a special on Seafood pizza and banana and pineapple pizza. #Person2# will order the seafood pizza and thin crust."
973,Marty helps #Person2# order a thin crust seafood pizza. The order will be delivered to holyrood 9A in thirty minutes or it's free.,Pizza House is located at Holyrood 9A.,"#Person2# orders a medium pizza with pepperoni, olives, and extra cheese with today's special. #Person2# orders the seafood pizza with thin crust and #Person2#'s address is holyrood 9A.","#Person1# takes Marty's order for a medium pizza with pepperoni, olives, and extra cheese. #Person1# offers a two-for-one special on large pizzas and offers a special on Seafood pizza and banana and pineapple pizza. #Person2# will order the seafood pizza and thin crust."
974,#Person2# orders a pizza delivery at Pizza House. Marty promises it will arrive in thirty minutes or it's free.,Pizza House is located at Holyrood 9A.,"#Person2# orders a medium pizza with pepperoni, olives, and extra cheese with today's special. #Person2# orders the seafood pizza with thin crust and #Person2#'s address is holyrood 9A.","#Person1# takes Marty's order for a medium pizza with pepperoni, olives, and extra cheese. #Person1# offers a two-for-one special on large pizzas and offers a special on Seafood pizza and banana and pineapple pizza. #Person2# will order the seafood pizza and thin crust."
975,"#Person1# is ordering dinner, but the wanted tomato soup is not being served today. #Person1# agrees to order egg soup as #Person2#'s suggestions.",The menu is ready for you.,"#Person1# wants to order prawn cocktail, tomato soup, steak with onion, and black coffee. #Person2# recommends egg soup and #Person1# will try it. #Person2# will be back soon.","#Person1# wants to have prawn cocktail, tomato soup, egg soup, and a glass of mineral water for dinner. #Person2# will be back soon."
976,"#Person2# helps #Person1# to order prawn cocktail, egg soup, steak, black coffee and mineral water.",The menu is ready for you.,"#Person1# wants to order prawn cocktail, tomato soup, steak with onion, and black coffee. #Person2# recommends egg soup and #Person1# will try it. #Person2# will be back soon.","#Person1# wants to have prawn cocktail, tomato soup, egg soup, and a glass of mineral water for dinner. #Person2# will be back soon."
977,#Person1# orders some food for dinner with #Person2#'s help.,The menu is ready for you.,"#Person1# wants to order prawn cocktail, tomato soup, steak with onion, and black coffee. #Person2# recommends egg soup and #Person1# will try it. #Person2# will be back soon.","#Person1# wants to have prawn cocktail, tomato soup, egg soup, and a glass of mineral water for dinner. #Person2# will be back soon."
978,"#Person1# is introducing a house to #Person2#, which has a living room, a dining room, a kitchen, two washrooms, and three bedrooms.",The house is located in a quiet area.,#Person2# wants to know about the house. #Person1# tells #Person2# the details of the house and the washrooms.,#Person1# tells #Person2# the house and the kitchen. #Person2# likes the kitchen and the washrooms.
979,#Person1# introduces the setting of the room to #Person2#.,The house is located in a quiet area.,#Person2# wants to know about the house. #Person1# tells #Person2# the details of the house and the washrooms.,#Person1# tells #Person2# the house and the kitchen. #Person2# likes the kitchen and the washrooms.
980,#Person1# is introducing a house to #Person2#.,The house is located in a quiet area.,#Person2# wants to know about the house. #Person1# tells #Person2# the details of the house and the washrooms.,#Person1# tells #Person2# the house and the kitchen. #Person2# likes the kitchen and the washrooms.
981,"#Person2# claims #Person2# bought a personal stereo from #Person1#'s shop but the product has two problems that #Person2# is not happy with. #Person1# offers to exchange it for another one, but #Person2# has a problem with the receipt.",#Person1#: I'm sorry to hear that.,#Person2# bought a personal stereo at #Person1#'s shop 3 days ago and it hasn't matched up to what #Person1# was told about. #Person2# isn't happy about the scratch on the front of it and the noise from it. #Person1# suggests they exchange it for another model but #Person2# isn't satisfied with it.,#Person2# bought a personal stereo at #Person1#'s shop 3 days ago and it hasn't matched up to what #Person1# told about. #Person1# tells #Person2# that the scratches are not the most important thing and #Person2# is not happy about the other thing. #Person1# suggests they exchange the stereo for another model.
